kidsdriv,age,homekids,yoj,income,parent1,home_val,mstatus,gender,education,occupation,travtime,car_use,bluebook,tif,car_type,red_car,oldclaim,clm_freq,revoked,mvr_pts,clm_amt,car_age,claim_flag,urbanicity
0,60.0,0,11.0,67349.0,False,0.0,False,male,PhD,Professional,14,Private,14230.0,11,Minivan,yes,4461.0,2,No,3,0.0,18.0,0,Urban
0,43.0,0,11.0,91449.0,False,257252.0,False,male,High School,Blue Collar,22,Commercial,14940.0,1,Minivan,yes,0.0,0,No,0,0.0,1.0,0,Urban
0,48.0,0,11.0,52881.0,False,0.0,False,male,Bachelors,Manager,26,Private,21970.0,1,Van,yes,0.0,0,No,2,0.0,10.0,0,Urban
0,35.0,1,10.0,16039.0,False,124191.0,True,female,High School,Clerical,5,Private,4010.0,4,SUV,no,38690.0,2,No,3,0.0,10.0,0,Urban
0,51.0,0,14.0,,False,306251.0,True,male,below High School,Blue Collar,32,Private,15440.0,7,Minivan,yes,0.0,0,No,0,0.0,6.0,0,Urban
0,50.0,0,,114986.0,False,243925.0,True,female,PhD,Doctor,36,Private,18000.0,1,SUV,no,19217.0,2,Yes,3,0.0,17.0,0,Urban
0,34.0,1,12.0,125301.0,True,0.0,False,female,Bachelors,Blue Collar,46,Commercial,17430.0,1,Sports Car,no,0.0,0,No,0,2946.0,7.0,1,Urban
0,54.0,0,,18755.0,False,,True,female,below High School,Blue Collar,33,Private,8780.0,1,SUV,no,0.0,0,No,0,0.0,1.0,0,Urban
1,40.0,1,11.0,50815.0,True,0.0,False,male,High School,Manager,21,Private,18930.0,6,Minivan,no,3295.0,1,No,2,6477.0,1.0,1,Urban
0,44.0,2,12.0,43486.0,True,0.0,False,female,High School,Blue Collar,30,Commercial,5900.0,10,SUV,no,0.0,0,No,0,0.0,10.0,0,Rural
1,37.0,2,,107961.0,False,333680.0,True,male,Bachelors,Blue Collar,44,Commercial,16970.0,1,Van,yes,2374.0,1,Yes,10,4021.0,7.0,1,Urban
0,34.0,0,10.0,62978.0,False,0.0,False,female,Bachelors,Clerical,34,Private,11200.0,1,SUV,no,0.0,0,No,0,2501.0,1.0,1,Urban
0,50.0,0,7.0,106952.0,False,0.0,False,male,Bachelors,Professional,48,Commercial,18510.0,7,Van,no,0.0,0,No,1,0.0,17.0,0,Rural
0,53.0,0,14.0,77100.0,False,0.0,False,female,Masters,Lawyer,15,Private,18300.0,1,Sports Car,no,0.0,0,No,0,6077.0,11.0,1,Urban
0,43.0,0,5.0,52642.0,False,209970.0,True,female,Masters,Professional,36,Private,22420.0,7,Minivan,no,0.0,0,No,0,0.0,1.0,0,Rural
0,55.0,0,11.0,59162.0,False,180232.0,True,male,Bachelors,Manager,25,Commercial,17600.0,7,Van,yes,5028.0,2,Yes,3,0.0,9.0,0,Urban
0,53.0,0,11.0,130795.0,False,0.0,False,male,PhD,,64,Commercial,28340.0,6,Panel Truck,yes,0.0,0,No,3,1267.0,10.0,1,Urban
0,35.0,2,,21204.0,True,0.0,False,male,High School,Clerical,74,Private,9230.0,6,Pickup,no,0.0,0,Yes,0,0.0,4.0,0,Rural
0,45.0,0,0.0,0.0,False,106859.0,True,female,below High School,Home Maker,48,Private,6000.0,1,SUV,no,0.0,0,No,3,2920.0,5.0,1,Urban
0,39.0,3,12.0,51884.0,True,180951.0,False,female,Bachelors,Clerical,43,Private,10590.0,6,SUV,no,0.0,0,No,0,0.0,13.0,0,Rural
0,59.0,0,12.0,87460.0,False,0.0,False,male,High School,Manager,45,Private,15420.0,1,Minivan,yes,44857.0,2,No,4,4111.0,1.0,1,Urban
0,42.0,0,11.0,59945.0,False,192207.0,True,male,Masters,Lawyer,42,Private,14190.0,6,Minivan,no,0.0,0,No,0,0.0,16.0,0,Urban
0,34.0,3,13.0,34019.0,False,91875.0,True,female,Masters,Lawyer,27,Private,8300.0,7,SUV,no,0.0,0,No,0,0.0,20.0,0,Urban
0,31.0,2,12.0,18903.0,False,93797.0,True,female,below High School,Clerical,48,Private,17330.0,4,Minivan,no,0.0,0,No,0,0.0,7.0,0,Urban
0,28.0,1,13.0,44077.0,False,170598.0,True,female,High School,Blue Collar,29,Commercial,8710.0,6,SUV,no,8935.0,2,No,0,6857.0,1.0,1,Urban
0,43.0,0,13.0,37214.0,False,,True,male,below High School,Blue Collar,52,Commercial,26560.0,1,Panel Truck,yes,0.0,0,No,3,3627.0,1.0,1,Urban
0,48.0,0,14.0,96274.0,False,282904.0,True,female,Masters,Lawyer,36,Private,11130.0,6,SUV,no,8250.0,1,No,5,0.0,14.0,0,Urban
0,47.0,0,11.0,46281.0,False,0.0,False,female,below High School,Blue Collar,29,Private,19700.0,10,Minivan,no,0.0,0,No,1,0.0,5.0,0,Urban
2,44.0,2,0.0,0.0,False,82344.0,True,female,High School,Home Maker,8,Private,5900.0,6,SUV,no,3338.0,3,No,0,0.0,11.0,0,Urban
0,46.0,0,14.0,,False,207519.0,True,male,Bachelors,Professional,7,Commercial,25660.0,1,Panel Truck,no,2119.0,1,No,2,0.0,12.0,0,Urban
0,60.0,0,12.0,37940.0,False,182739.0,True,female,High School,Blue Collar,16,Commercial,11290.0,1,Sports Car,no,0.0,0,No,0,5247.0,1.0,1,Urban
0,33.0,1,13.0,79606.0,False,225962.0,True,female,Bachelors,Professional,27,Private,16830.0,9,SUV,no,0.0,0,No,2,0.0,15.0,0,Rural
0,32.0,1,9.0,31275.0,False,118160.0,True,female,High School,Clerical,26,Private,10030.0,1,SUV,no,0.0,0,No,0,4486.0,1.0,1,Urban
1,44.0,2,17.0,45488.0,False,219378.0,True,male,Bachelors,Manager,16,Private,22090.0,17,Minivan,no,0.0,0,No,0,0.0,12.0,0,Urban
0,35.0,0,8.0,72193.0,False,0.0,False,female,Bachelors,Clerical,26,Private,12220.0,6,SUV,no,0.0,0,No,3,0.0,12.0,0,Urban
0,40.0,2,0.0,,False,98777.0,True,female,Masters,Home Maker,15,Private,14130.0,6,SUV,no,38127.0,2,Yes,4,0.0,12.0,0,Rural
0,54.0,0,12.0,33212.0,False,158432.0,True,male,below High School,Blue Collar,27,Commercial,24000.0,4,Panel Truck,no,0.0,0,No,5,4901.0,,1,Urban
0,49.0,0,5.0,49244.0,False,163444.0,True,male,Bachelors,Clerical,30,Private,15880.0,1,Minivan,no,0.0,0,No,1,0.0,1.0,0,Urban
2,36.0,2,12.0,130540.0,True,344195.0,False,female,Bachelors,Blue Collar,5,Commercial,27200.0,4,Minivan,no,0.0,0,No,0,0.0,9.0,0,Rural
0,52.0,0,8.0,51278.0,False,230340.0,True,female,Bachelors,Professional,37,Private,1500.0,4,SUV,no,0.0,0,No,1,0.0,10.0,0,Urban
0,41.0,0,7.0,92842.0,False,286113.0,False,male,Masters,,12,Commercial,25810.0,6,Panel Truck,no,1431.0,2,No,5,0.0,15.0,0,Urban
0,39.0,0,10.0,35081.0,False,202839.0,True,male,Bachelors,Blue Collar,38,Commercial,16640.0,4,Van,yes,0.0,0,No,0,0.0,13.0,0,Urban
0,56.0,0,0.0,0.0,False,63827.0,True,female,PhD,Home Maker,65,Private,13220.0,1,Minivan,no,0.0,0,No,0,0.0,12.0,0,Rural
0,49.0,0,12.0,115044.0,False,311980.0,False,female,PhD,Doctor,18,Private,17900.0,1,Minivan,no,0.0,0,No,0,0.0,14.0,0,Urban
0,38.0,0,11.0,37754.0,False,138823.0,True,female,High School,Clerical,47,Private,12080.0,1,SUV,no,0.0,0,No,2,0.0,9.0,0,Rural
0,43.0,2,17.0,145353.0,False,418785.0,True,female,Masters,,38,Commercial,29450.0,6,Van,no,0.0,0,No,0,0.0,15.0,0,Urban
0,50.0,0,8.0,167469.0,False,0.0,False,female,PhD,Doctor,22,Private,34150.0,4,Sports Car,no,0.0,0,No,3,0.0,1.0,0,Urban
0,63.0,0,15.0,121398.0,False,343410.0,True,female,PhD,Doctor,10,Private,16270.0,1,SUV,no,0.0,0,No,0,0.0,11.0,0,Urban
0,52.0,0,0.0,0.0,False,87925.0,False,female,High School,Student,48,Commercial,9280.0,1,SUV,no,0.0,0,No,1,0.0,6.0,0,Rural
0,35.0,0,7.0,14508.0,False,0.0,True,male,Bachelors,Student,22,Commercial,6450.0,1,Pickup,no,0.0,0,No,0,0.0,7.0,0,Urban
0,43.0,0,13.0,75338.0,False,270555.0,True,female,Bachelors,Manager,40,Private,23080.0,1,Sports Car,no,0.0,0,No,0,0.0,8.0,0,Urban
0,41.0,0,10.0,32774.0,False,0.0,False,female,High School,Clerical,44,Private,20120.0,4,Minivan,no,0.0,0,No,0,0.0,1.0,0,Rural
0,40.0,0,11.0,57474.0,False,186418.0,True,male,Bachelors,Clerical,5,Commercial,29270.0,4,Panel Truck,yes,0.0,0,No,1,0.0,5.0,0,Urban
0,31.0,1,12.0,26520.0,False,154493.0,True,male,Bachelors,Student,62,Commercial,4600.0,6,Minivan,yes,0.0,0,No,2,0.0,5.0,0,Urban
0,47.0,0,8.0,18444.0,False,0.0,True,female,High School,Student,35,Commercial,19450.0,6,SUV,no,2981.0,2,No,5,0.0,,0,Urban
0,53.0,0,,107259.0,False,343700.0,True,male,Masters,Professional,36,Private,29230.0,10,Minivan,yes,0.0,0,No,0,0.0,15.0,0,Urban
0,39.0,3,7.0,34046.0,False,183383.0,True,female,High School,Clerical,33,Private,4040.0,6,SUV,no,0.0,0,No,0,0.0,5.0,0,Rural
0,33.0,3,14.0,32364.0,False,152894.0,True,male,below High School,Clerical,40,Private,12270.0,18,Minivan,yes,0.0,0,No,3,0.0,1.0,0,Urban
0,59.0,0,5.0,106775.0,False,,False,male,Masters,Lawyer,10,Private,31930.0,1,Minivan,yes,0.0,0,No,0,0.0,,0,Urban
0,42.0,0,,52988.0,False,176275.0,True,male,High School,Blue Collar,24,Commercial,23450.0,1,Minivan,no,0.0,0,No,2,0.0,11.0,0,Rural
0,40.0,0,11.0,16989.0,False,0.0,False,male,below High School,Blue Collar,20,Commercial,12230.0,4,Pickup,yes,26104.0,1,Yes,13,6100.0,6.0,1,Urban
0,41.0,2,7.0,17755.0,True,148815.0,False,female,below High School,Clerical,29,Private,14480.0,1,Minivan,yes,0.0,0,Yes,2,0.0,1.0,0,Urban
1,37.0,2,13.0,,True,0.0,False,female,High School,Blue Collar,62,Commercial,9360.0,4,Sports Car,no,0.0,0,No,0,6195.0,,1,Urban
0,36.0,3,12.0,56048.0,False,137836.0,True,male,Masters,Lawyer,15,Private,10700.0,6,Minivan,no,2045.0,2,No,2,0.0,16.0,0,Urban
0,44.0,2,15.0,16352.0,False,134164.0,True,female,High School,Home Maker,37,Private,10520.0,1,SUV,no,7838.0,1,No,1,8841.0,1.0,1,Urban
0,56.0,0,16.0,44760.0,False,164852.0,True,male,Bachelors,Manager,30,Private,21770.0,13,Minivan,yes,0.0,0,No,0,0.0,6.0,0,Urban
1,45.0,1,14.0,63952.0,False,196368.0,True,female,Masters,Lawyer,50,Private,32340.0,6,Van,no,27877.0,2,Yes,0,2117.0,13.0,1,Urban
0,34.0,3,12.0,22510.0,False,123888.0,True,male,High School,Clerical,26,Private,14690.0,4,Minivan,yes,0.0,0,Yes,0,1230.0,1.0,1,Rural
0,48.0,0,,,False,252896.0,True,male,Bachelors,Professional,14,Commercial,28560.0,13,Panel Truck,yes,1554.0,5,No,1,0.0,10.0,0,Urban
1,44.0,2,,24060.0,True,0.0,False,male,Bachelors,Clerical,24,Private,14220.0,4,Minivan,no,0.0,0,No,0,3532.0,10.0,1,Urban
0,33.0,4,12.0,20822.0,False,76022.0,True,female,High School,Home Maker,46,Private,6880.0,13,SUV,no,7896.0,3,No,0,866.0,1.0,1,Urban
0,32.0,3,14.0,54968.0,False,146784.0,True,female,High School,Professional,20,Private,10040.0,4,SUV,no,0.0,0,Yes,0,0.0,8.0,0,Urban
0,34.0,0,8.0,14194.0,False,87034.0,False,female,below High School,Clerical,13,Private,2920.0,4,Sports Car,no,24767.0,3,Yes,2,7786.0,10.0,1,Urban
1,38.0,4,12.0,2149.0,False,72889.0,True,female,below High School,Home Maker,35,Private,22690.0,10,Pickup,no,0.0,0,No,2,0.0,1.0,0,Urban
0,35.0,2,12.0,,True,0.0,False,female,below High School,Blue Collar,43,Private,9730.0,5,SUV,no,0.0,0,No,4,5426.0,4.0,1,Urban
2,44.0,2,14.0,45576.0,False,156623.0,True,female,below High School,Blue Collar,27,Private,1500.0,4,Sports Car,no,25276.0,1,No,8,0.0,,0,Urban
2,43.0,3,11.0,137103.0,True,0.0,False,female,Masters,Manager,29,Private,19510.0,1,Sports Car,no,8890.0,3,No,0,4148.0,15.0,1,Urban
0,49.0,0,9.0,,False,0.0,False,male,PhD,,31,Commercial,33710.0,3,Panel Truck,no,34351.0,2,Yes,2,0.0,18.0,0,Urban
0,46.0,0,10.0,79538.0,False,0.0,False,female,Bachelors,Manager,13,Private,14050.0,3,Minivan,no,0.0,0,Yes,2,0.0,11.0,0,Urban
0,45.0,1,11.0,185836.0,False,509115.0,True,female,PhD,Lawyer,28,Private,10250.0,1,SUV,no,4307.0,3,No,6,0.0,20.0,0,Urban
0,46.0,0,14.0,,False,397661.0,False,male,Masters,,22,Commercial,33320.0,4,Panel Truck,yes,0.0,0,Yes,1,0.0,12.0,0,Urban
0,45.0,0,11.0,61931.0,False,213530.0,True,male,Masters,,30,Commercial,10910.0,13,Pickup,yes,25106.0,2,No,0,0.0,,0,Urban
0,48.0,0,9.0,61509.0,False,195438.0,True,male,Masters,,40,Commercial,23230.0,6,Panel Truck,yes,0.0,0,No,1,0.0,17.0,0,Urban
0,63.0,0,9.0,74426.0,False,0.0,False,female,PhD,Doctor,11,Private,27600.0,1,SUV,no,0.0,0,No,0,0.0,18.0,0,Urban
0,44.0,0,9.0,74722.0,False,231034.0,True,female,Bachelors,Professional,9,Private,23640.0,6,Minivan,no,0.0,0,No,0,0.0,1.0,0,Urban
1,45.0,2,11.0,102393.0,True,0.0,False,male,Bachelors,Professional,25,Private,1500.0,1,Minivan,yes,0.0,0,No,2,2371.0,11.0,1,Urban
0,62.0,0,15.0,40656.0,False,208242.0,True,female,High School,Clerical,57,Private,9170.0,4,Sports Car,no,42342.0,2,Yes,2,4178.0,7.0,1,Urban
0,48.0,0,0.0,0.0,False,98920.0,True,female,High School,Home Maker,50,Private,8660.0,3,Sports Car,no,8363.0,2,No,3,0.0,,0,Urban
1,37.0,2,12.0,,False,205211.0,True,female,Bachelors,Blue Collar,43,Commercial,5200.0,1,SUV,no,2718.0,1,No,1,4804.0,3.0,1,Urban
0,35.0,0,,29371.0,False,0.0,False,female,below High School,Clerical,49,Private,4860.0,10,Sports Car,no,0.0,0,No,0,0.0,1.0,0,Urban
0,48.0,0,12.0,31773.0,False,165090.0,True,male,High School,Clerical,14,Commercial,9640.0,13,Pickup,no,1212.0,1,No,4,1354.0,1.0,1,Urban
0,39.0,0,11.0,33727.0,False,0.0,False,female,Bachelors,Clerical,27,Private,10850.0,1,SUV,no,8350.0,1,No,2,0.0,12.0,0,Urban
0,49.0,0,0.0,0.0,False,159389.0,True,female,Masters,Professional,42,Private,6400.0,10,SUV,no,9115.0,1,No,6,0.0,14.0,0,Urban
0,44.0,2,15.0,139330.0,True,316900.0,False,female,High School,Blue Collar,35,Commercial,22050.0,10,Sports Car,no,0.0,0,No,0,0.0,1.0,0,Rural
0,50.0,0,13.0,163296.0,False,447616.0,False,female,PhD,Lawyer,42,Private,22830.0,1,Minivan,no,0.0,0,No,0,0.0,14.0,0,Rural
0,30.0,1,10.0,17455.0,True,140978.0,False,female,below High School,Blue Collar,50,Private,12380.0,13,Minivan,no,0.0,0,No,0,0.0,6.0,0,Rural
0,54.0,0,,71007.0,False,240833.0,True,male,Bachelors,Manager,61,Private,14000.0,6,Minivan,no,0.0,0,No,0,0.0,11.0,0,Urban
0,38.0,0,0.0,0.0,False,0.0,True,male,High School,Student,41,Commercial,17470.0,10,Van,no,3157.0,2,No,5,0.0,6.0,0,Rural
0,53.0,0,6.0,38036.0,False,153381.0,True,female,High School,Blue Collar,32,Commercial,13140.0,1,SUV,no,0.0,0,No,4,2425.0,1.0,1,Urban
0,53.0,0,13.0,41199.0,False,150933.0,False,female,Bachelors,Manager,21,Private,15360.0,1,SUV,no,0.0,0,No,0,0.0,8.0,0,Urban
0,29.0,1,10.0,38042.0,True,202967.0,False,male,High School,Professional,15,Private,15160.0,6,Minivan,no,0.0,0,No,0,0.0,1.0,0,Urban
0,58.0,0,11.0,91223.0,False,0.0,False,male,Masters,Lawyer,23,Private,10620.0,6,Pickup,no,0.0,0,No,0,0.0,,0,Urban
0,55.0,0,7.0,45787.0,False,173196.0,True,female,Masters,Lawyer,5,Private,19380.0,6,Minivan,no,0.0,0,No,0,0.0,13.0,0,Urban
0,55.0,0,,84964.0,False,227091.0,True,male,Bachelors,Blue Collar,21,Commercial,5760.0,1,Pickup,yes,969.0,2,No,6,0.0,11.0,0,Urban
0,56.0,0,8.0,38240.0,False,190675.0,True,female,High School,Clerical,28,Private,16220.0,4,SUV,no,0.0,0,No,0,0.0,,0,Rural
0,39.0,2,0.0,0.0,False,69369.0,True,female,High School,Home Maker,36,Private,8750.0,4,Sports Car,no,0.0,0,No,0,0.0,8.0,0,Urban
2,44.0,2,13.0,142588.0,False,365256.0,True,male,Masters,Manager,28,Private,21790.0,6,Minivan,yes,0.0,0,No,2,0.0,9.0,0,Urban
0,34.0,0,11.0,51565.0,False,0.0,False,male,Masters,Lawyer,36,Private,18110.0,1,Van,yes,759.0,2,No,3,0.0,15.0,0,Urban
0,34.0,3,0.0,0.0,False,66358.0,True,female,High School,Home Maker,25,Private,11740.0,9,SUV,no,1800.0,2,No,2,5711.0,1.0,1,Urban
